id_zapisi,data,vremya,filial,master,usluga,cena,id_klienta,kanal_zapisi,status
1,01.01.2026,16:45,Заречная,Тимур Аскеров,Стрижка мужская,1400,5828,телефон,выполнена
2,01.01.2026,14:00,Центр,Артём Соколов,Стрижка мужская,1400,5814,телефон,выполнена
3,01.01.2026,13:45,Центр,Артём Соколов,Стрижка мужская,1400,5576,телефон,выполнена
4,01.01.2026,13:30,Северный,Данила Ким,Бритьё опасной бритвой,1300,5647,онлайн,выполнена
5,01.01.2026,19:45,Северный,Олег Рыбак,Стрижка мужская,1400 р.,6444,телефон,выполнена
6,01.01.2026,16:30,Северный,Роман Швец,Стрижка мужская,1400 р.,6405,телефон,выполнена
7,2026-01-01,12:15,Северный,Данила Ким,Стрижка мужская,1120,5580,онлайн,выполнена
8,01.01.2026,10:00,Заречная,Марк Дёмин,Стрижка + борода,2100,5372,телефон,выполнена
9,01.01.2026,19:45,Центр,иван петров,Бритьё опасной бритвой,1300,5392,без записи,выполнена
10,01.01.2026,15:45,Центр,иван петров,Стрижка + борода,2100,5831,без записи,выполнена
11,01.01.2026,14:15,Центр, Иван Петров,Тонирование,1620,6167,онлайн,выполнена
12,2026-01-01,15:00,Заречная,Тимур А.,Стрижка мужская,1190,6328,телефон,выполнена
13,01.01.2026,11:00,Северный,Д. Ким,Стрижка детская,1000,5150,онлайн,выполнена
14,02.01.2026,14:30,Центр,Артём Соколов,Стрижка + борода,2100,5607,онлайн,неявка
15,02.01.2026,14:15,Центр,Артём Соколов,Оформление бороды,900,5855,онлайн,выполнена
16,02.01.2026,11:45,Северный,Олег Рыбак,Оформление бороды,900,6043,телефон,выполнена
17,02.01.2026,18:15,Заречная,Тимур А.,Стрижка мужская,1400,5264,телефон,выполнена
18,02.01.2026,18:15,Заречная,ТИМУР АСКЕРОВ,Оформление бороды,900 р.,6029,онлайн,выполнена
19,02.01.2026,11:00,Заречная,Марк Дёмин,Стрижка + борода,2100,5330,телефон,выполнена
20,02.01.2026,18:15,Северный,Олег Рыбак,Стрижка мужская,1400,6131,телефон,выполнена
21,02.01.2026,15:00,Северный,Роман Швец,Стрижка + борода,1890,5664,онлайн,выполнена
22,02.01.2026,18:45,Центр,Лев Гаврилов,Стрижка + борода,2100,6422,онлайн,выполнена
23,02.01.2026,18:30,Заречная,Тимур Аскеров,Камуфляж седины,1600,5526,онлайн,выполнена
24,2026-01-02,15:15,Центр,Артём Соколов,Стрижка мужская,1400,5755,без записи,выполнена
25,02.01.2026,17:30,Центр,иван петров,Стрижка + борода,2100 р.,6334,телефон,выполнена
26,02.01.2026,12:45,Северный,Олег Рыбак,Оформление бороды,900,5862,онлайн,выполнена
27,02.01.2026,11:00,Центр,Артём Соколов,Стрижка детская,1000,5773,телефон,выполнена
28,02.01.2026,12:45,Центр,Артём Соколов,Стрижка мужская,1400,5504,онлайн,выполнена
29,03.01.2026,17:15,Центр,Иван П.,Стрижка мужская,1400,5940,телефон,отменена
30,03.01.2026,12:30,Центр,иван петров,Стрижка мужская,1400,6128,онлайн,выполнена
31,2026-01-03,20:30,Центр, Иван Петров,Стрижка детская,1100,5119,без записи,выполнена
32,03.01.2026,19:15,Центр,Лев Гаврилов,Стрижка мужская,1540 р.,6269,без записи,выполнена
33,2026-01-03,18:00,Северный,Олег Рыбак,Стрижка мужская,1400,6421,без записи,выполнена
34,03.01.2026,17:45,Центр,Лев Гаврилов,Стрижка мужская,1400,5091,онлайн,выполнена
35,03.01.2026,18:00,Центр,Артём Соколов,Оформление бороды,900,5026,без записи,выполнена
36,03.01.2026,17:30,Северный,Роман Швец,Стрижка мужская,1120,5804,телефон,выполнена
37,03.01.2026,11:15,Северный,Д. Ким,Стрижка детская,1100,5270,онлайн,выполнена
38,03.01.2026,15:45,Северный,Д. Ким,Стрижка детская,1000,5285,телефон,выполнена
39,03.01.2026,20:00,Центр,Лев Гаврилов,Стрижка мужская,1540,5023,телефон,выполнена
40,03.01.2026,17:30,Центр,Лев Гаврилов,Камуфляж седины,1600,6052,без записи,выполнена
41,2026-01-03,13:45,Заречная,Марк Дёмин,Стрижка мужская,1400,5675,телефон,выполнена
