talk_id,rating,votes
1,Beautiful,24
1,Confusing,11
1,Courageous,33
1,Fascinating,46
1,Funny,31
1,Informative,47
1,Ingenious,29
1,Inspiring,41
1,Jaw-dropping,43
1,Longwinded,1
1,OK,13
1,Obnoxious,4
1,Persuasive,38
1,Unconvincing,38
2,Beautiful,486
2,Courageous,355
2,Fascinating,461
2,Funny,464
2,Informative,494
2,Ingenious,496
2,Inspiring,169
2,Jaw-dropping,428
2,Longwinded,255
2,OK,18
2,Obnoxious,16
2,Persuasive,448
2,Unconvincing,217
3,Beautiful,39
3,Confusing,103
3,Courageous,175
3,Fascinating,87
3,Funny,19
3,Informative,160
3,Ingenious,65
3,Inspiring,151
3,Jaw-dropping,150
3,Longwinded,6
3,OK,21
3,Obnoxious,1
3,Persuasive,43
3,Unconvincing,26
4,Beautiful,39
4,Confusing,17
4,Courageous,287
4,Fascinating,110
4,Funny,295
4,Informative,178
4,Ingenious,258
4,Inspiring,265
4,Jaw-dropping,311
4,Longwinded,1
4,OK,1
4,Obnoxious,212
4,Persuasive,215
5,Beautiful,12
5,Confusing,25
5,Courageous,46
5,Fascinating,43
5,Funny,17
5,Informative,51
5,Ingenious,9
5,Inspiring,25
5,Jaw-dropping,10
5,Longwinded,29
5,Persuasive,23
5,Unconvincing,3
6,Beautiful,31
6,Courageous,39
6,Fascinating,11
6,Funny,14
6,Informative,23
6,Ingenious,18
6,Inspiring,42
6,Jaw-dropping,30
6,OK,18
6,Obnoxious,19
6,Persuasive,20
6,Unconvincing,6
7,Beautiful,199
7,Confusing,201
7,Courageous,351
7,Fascinating,542
7,Funny,672
7,Informative,574
7,Ingenious,673
7,Inspiring,762
7,Jaw-dropping,231
7,OK,31
7,Obnoxious,8
7,Persuasive,73
7,Unconvincing,99
8,Beautiful,79
8,Confusing,93
8,Courageous,141
8,Fascinating,119
8,Funny,129
8,Informative,112
8,Ingenious,122
8,Inspiring,78
8,Jaw-dropping,83
8,OK,102
8,Obnoxious,45
8,Persuasive,109
8,Unconvincing,99
9,Beautiful,21
9,Courageous,10
9,Fascinating,65
9,Funny,57
9,Informative,47
9,Ingenious,65
9,Inspiring,66
9,Jaw-dropping,67
9,Longwinded,2
9,Obnoxious,4
9,Persuasive,18
9,Unconvincing,5
10,Beautiful,25
