talk_id,tag,category
1,climate change,Экология
1,communication,Образование
1,creativity,Искусство
1,learning,Образование
2,biology,Наука
2,global issues,Общество
2,innovation,Технологии
2,learning,Образование
3,business,Бизнес
3,climate change,Экология
3,economics,Бизнес
3,history,Общество
3,politics,Общество
4,culture,Общество
4,data,Технологии
4,humanity,Общество
4,innovation,Технологии
4,psychology,Общество
5,culture,Общество
5,technology,Технологии
6,architecture,Дизайн
6,health,Здоровье
6,history,Общество
6,politics,Общество
7,climate change,Экология
7,environment,Экология
7,society,Общество
8,art,Искусство
8,science,Наука
8,war,Общество
9,brain,Наука
9,environment,Экология
9,health,Здоровье
9,physics,Наука
9,politics,Общество
10,economics,Бизнес
10,social change,Общество
11,history,Общество
11,humanity,Общество
11,learning,Образование
11,science,Наука
12,climate change,Экология
12,global issues,Общество
12,global issues,Общество
13,internet,Технологии
13,psychology,Общество
13,space,Наука
14,creativity,Искусство
14,innovation,Технологии
14,science,Наука
14,social change,Общество
15,business,Бизнес
15,medicine,Здоровье
15,space,Наука
15,war,Общество
16,architecture,Дизайн
16,artificial intelligence,Технологии
17,education,Образование
17,women,Общество
18,biology,Наука
18,business,Бизнес
18,innovation,Технологии
19,politics,Общество
19,science,Наука
19,social change,Общество
20,future,Технологии
20,psychology,Общество
21,art,Искусство
21,artificial intelligence,Технологии
21,brain,Наука
21,identity,Общество
22,economics,Бизнес
22,future,Технологии
22,storytelling,Искусство
23,artificial intelligence,Технологии
23,education,Образование
23,global issues,Общество
23,society,Общество
24,humanity,Общество
24,space,Наука
25,communication,Образование
25,technology,Технологии
26,identity,Общество
26,medicine,Здоровье
26,physics,Наука
27,innovation,Технологии
28,physics,Наука
29,biology,Наука
29,history,Общество
29,physics,Наука
30,art,Искусство
30,biology,Наука
30,identity,Общество
30,learning,Образование
30,social change,Общество
31,biology,Наука
31,business,Бизнес
31,creativity,Искусство
32,art,Искусство
32,environment,Экология
32,history,Общество
32,physics,Наука
32,psychology,Общество
33,health,Здоровье
33,identity,Общество
33,science,Наука
34,architecture,Дизайн
34,business,Бизнес
34,sustainability,Экология
35,architecture,Дизайн
35,brain,Наука
35,learning,Образование
35,physics,Наука
36,architecture,Дизайн
36,brain,Наука
36,climate change,Экология
36,global issues,Общество
36,learning,Образование
37,biology,Наука
37,personal growth,Образование
37,psychology,Общество
37,science,Наука
38,architecture,Дизайн
38,health,Здоровье
38,history,Общество
