talk_id,title,speaker,speaker_occupation,num_speakers,event,event_year,event_city,is_main_conference,recorded_date,published_date,duration_sec,views,comments,languages
1089,Как климат заслуживают внимания,Peter Nilsen,режиссёр,1,TED2010,2010,Long Beach,1,2010-01-08,2010-02-12,442,2770258,239,28
1169,Зачем энергия устроены не так,Liam Moreau,дизайнер,1,TED2010,2010,Long Beach,1,2010-01-03,2010-03-06,853,11179665,1962,23
2537,Отчего страх требуют пересмотра,Felix Adeyemi,нейробиолог,1,TED2010,2010,Long Beach,1,2010-02-23,2010-03-14,791,7025085,983,20
2620,Почему доверие обманывают нас,Zoe Lindqvist,архитектор,1,TED2010,2010,Long Beach,1,2010-02-08,2010-03-17,614,3801619,904,7
2196,Что память решают за нас,Zoe Haugen,инженер,1,TED2010,2010,Long Beach,1,2010-02-21,2010-03-27,956,2250885,653,25
1538,Каким образом вирусы устроены не так,Felix Meyer,экономист,1,TED2010,2010,Long Beach,1,2010-03-08,2010-04-19,284,3369746,336,34
1597,"Как медицина опаснее, чем принято думать",Lena Adeyemi,,2,TED2010,2010,Long Beach,1,2010-03-15,2010-04-22,834,203431,60,49
1367,"Зачем бактерии опаснее, чем принято думать",Jonas Dubois,музыкант,1,TED2010,2010,Long Beach,1,2010-03-02,2010-04-29,575,3045495,300,43
1866,Отчего роботы не работают,Iris Nilsen,дизайнер,1,TED2010,2010,Long Beach,1,2010-03-24,2010-05-01,926,6040196,585,41
2088,Что гены устроены не так,Samir Fischer,режиссёр,1,TED2010,2010,Long Beach,1,2010-02-19,2010-05-01,890,2640334,327,43
2584,Что мозг стали другими,Hugo Bauer,юрист,1,TED2010,2010,Long Beach,1,2010-03-24,2010-05-01,754,891719,205,18
610,Как бактерии недооценены,Elif Novak,режиссёр,1,TED2010,2010,Long Beach,1,2010-01-01,2010-05-13,393,1200461,111,18
796,Почему время работают против нас,Zoe Vargas,программист,1,TED2010,2010,Long Beach,1,2010-04-04,2010-05-13,913,7582999,1400,33
986,Почему климат возвращаются,Sara Okafor,педагог,1,TED2010,2010,Long Beach,1,2010-02-19,2010-05-13,561,406863,75,46
1061,Каким образом старение определяют будущее,Lena Hassan,биолог,1,TED2010,2010,Long Beach,1,2010-02-28,2010-05-13,1031,2573904,505,19
209,Каким образом память возвращаются,Tom Moreau,антрополог,1,TED2010,2010,Long Beach,1,2010-04-08,2010-05-24,364,1150522,118,12
2604,Каким образом реки заслуживают внимания,Noah Novak,психолог,1,TED2010,2010,Long Beach,1,2010-03-10,2010-06-04,335,669599,77,43
251,"Каким образом медицина важнее, чем кажется",Jonas Dubois,предприниматель,1,TED2010,2010,Long Beach,1,2010-01-28,2010-06-08,966,6952730,1828,45
2163,"Отчего выборы опаснее, чем принято думать",Daniel Dubois,врач,1,TED2010,2010,Long Beach,1,2010-03-19,2010-06-11,381,1955869,494,45
777,Зачем гены не работают,Yuki Reyes,журналист,1,TED2010,2010,Long Beach,1,2010-05-08,2010-06-16,494,3630111,622,24
1181,Зачем музыка стоят дороже,Liam Silva,педагог,1,TED2010,2010,Long Beach,1,2010-01-14,2010-06-16,518,1109995,238,46
2726,Отчего деньги держат нас вместе,Ana Fischer,педагог,1,TED2010,2010,Long Beach,1,2010-03-03,2010-06-20,252,5951831,710,43
999,"Как города сложнее, чем выглядят",Yuki Petrov,математик,2,TED2010,2010,Long Beach,1,2010-05-24,2010-06-23,871,20751554,1987,35
