player_id,reg_date,country,platform,channel,sessions,total_minutes,max_level
1,2026-04-14,PL,ios,ua_google,13,227.6,7
2,21.12.2025,PL,android,ua_google,3,70.0,3
3,2026-02-12,BR,ios,organic,2,,2
4,2025-09-14,RU,android,ua_google,53,909.0,24
5,2025-09-26,IN,pc,cross_promo,1,9.7,2
6,18.04.2026,MX,ios,organic,2,11.5,2
7,19.09.2025,RU,ANDROID,ua_google,1,16.5,3
8,2026-01-13,PL,android,ua_tiktok,28,506.5,16
9,2026-06-13,MX,PC,influencer,1,27.0,1
10,2026-01-03,ES,pc,ua_facebook,62,1584.7,38
11,2026-04-07,MX,pc,ua_google,14,256.0,4
12,2026-05-23,BR,ANDROID,ua_google,30,703.5,14
13,2026-01-17,BR,ios,ua_tiktok,57,1288.0,41
14,2025-09-17,RU,Windows,ua_facebook,1,16.9,1
15,2025-12-27,PL,android,ua_tiktok,2,36.1,1
16,2025-11-27,FR,android,influencer,17,259.0,8
17,2026-02-05,BR,ios,ua_google,13,237.6,11
18,2025-09-14,ES,ios,ua_facebook,62,,26
19,04.12.2025,ES,ios,organic,11,230.1,4
20,2025-10-30,FR,android,ua_google,1,22.4,1
21,30.04.2026,PL,ios,organic,13,"145,3",8
22,2026-02-12,MX,ios,ua_tiktok,16,295.7,8
23,2026-03-08,BR,Android,ua_facebook,87,1385.5,54
24,2025-09-23,US,ios,ua_facebook,10,"192,5",8
25,2026-04-14,null,ios,ua_tiktok,2,58.4,2
26,2025-12-29,BR,android,ua_google,2,29.9,3
27,2026-04-27,MX,android,ua_facebook,1,11.0,1
28,2025-11-11,PL,android,ua_google,1,24.5,2
29,16.01.2026,TR,android,ua_google,59,1078.4,26
30,2025-10-30,GER,ios,organic,2,46.9,2
31,15.05.2026,PL,iOS,organic,34,,14
32,2026-05-05,PL,iOS,ua_tiktok,1,21.1,1
33,2026-02-20,DE,ios,ua_google,47,941.2,32
34,2025-10-04,FR,android,organic,8,140.9,5
35,2026-05-05,RU,ios,influencer,4,49.3,5
36,2025-11-24,PL,ios,organic,9,182.4,2
37,2026-03-05,BR,android,ua_google,1,3.2,1
38,2025-10-03,US,ANDROID,ua_facebook,241,5017.8,122
39,19.04.2026,TR,android,organic,46,801.8,25
40,09.05.2026,BR,Android,ua_google,3,44.5,2
