object_id,name,category,is_chain,district,okrug,seats,avg_bill,rating,reviews_count,hours,lat,lon
1,Синий дворик,ресторан,0,Пресненский,ЦАО,5,6230.0,5.0,37,12:00-00:00,55.817918,37.325327
2,Теремок,кофейня,1,Тверской,ЦАО,20,780.0,3.9,105,11:00-23:00,55.740451,37.557786
3,Медный чайник,КАФЕ,0,Мещанский,ЦАО,35,1480.0,4.1,8,10:00-22:00,55.70313,37.505806
4,Старый балкон,КАФЕ,0,Раменки,ЗАО,,710.0,3.9,35,09:00-23:00,55.864818,37.515012
5,Стардог!s,пиццерия,1,Хорошево-Мневники,СЗАО,37,780.0,3.7,454,11:00-23:00,55.806132,37.501639
6,Кулинарная лавка,кафе,1,Мещанский,ЦАО,44,1790.0,5.0,137,08:00-22:00,55.663562,37.479185
7,Городской подвал,булочная,0,Даниловский,ЮАО,5,370.0,4.7,106,11:00-23:00,55.726592,37.370554
8,Медный балкон,бар,0,Пресненский,ЦАО,29,2330.0,4.7,8,08:00-22:00,55.674466,37.54357
9,Северный поднос,кофейня,0,Сокол,САО,37,610.0,4.3,28,круглосуточно,55.5847,37.643202
10,Городской сад,пиццерия,0,Хорошёво-Мнёвники,СЗАО,,860.0,4.1,9,10:00-02:00,55.745635,37.84794
11,Вечерний колодец,КОФЕЙНЯ,0,Тёплый Стан,ЮЗАО,27,нет данных,3.8,53,,55.856084,37.610153
12,Северный базар,бар,0,Замоскворечье,ЦАО,54,2500.0,3.7,90,круглосуточно,55.737767,37.75679
13,Тёплый навес,фастфуд,0,Арбат,ЦАО,,480.0,4.7,31,круглосуточно,55.482289,37.660055
14,Кулинарная лавка,столовая,1,Бутырский,СВАО,141,390.0,3.6,8,08:00-22:00,55.746358,37.518245
15,Городской чайник,столовая,0,Бутырский,СВАО,61,310.0,4.7,206,10:00-22:00,55.903796,37.391749
16,Кулинарная лавка,фастфуд,1,Таганский,ЦАО,17,820.0,3.2,12,круглосуточно,55.764074,37.665115
17,Тёплый квартал,бар,0,Мещанский,ЦАО,26,3200.0,4.3,74,,55.785676,37.746801
18,Городской базар,ресторан,0,Хамовники,ЦАО,84,нет данных,5.0,174,10:00-02:00,55.827779,37.462814
19,Липовый стол,ресторан,0,Донской,ЮАО,нет данных,2100.0,3.3,12,круглосуточно,55.701171,37.445341
20,Дымный чайник,булочная,0,Арбат,ЦАО,6,н/д,4.5,175,круглосуточно,55.815481,37.606432
21,Зелёный фонарь,кафе,0,Марьино,ЮВАО,20,870.0,4.1,61,09:00-23:00,55.740207,37.717421
22,Липовый чайник,кафе,0,Перово,ВАО,38,810.0,,272,круглосуточно,55.88845,37.594835
23,Северный балкон,булочная,0,Даниловский,ЮАО,19,280.0,4.5,13,12:00-00:00,55.79856,37.561015
24,Домашний дворик,бар,0,Чертаново Южное,ЮАО,н/д,1070.0,4.0,5,10:00-02:00,55.707545,37.602835
25,Белый базар,ресторан,0,Тверской,ЦАО,нет данных,4600.0,4.1,21,12:00-00:00,55.692196,37.498514
26,Круглый терраса,фастфуд,0,Арбат,ЦАО,22,1050.0,4.4,60,07:00-21:00,55.609013,37.529844
27,Летний балкон,кофейня,0,Тверской,ЦАО,43,180000,4.9,768,10:00-02:00,55.784235,37.658985
28,Зелёный склон,пиццерия,0,Люблино,ЮВАО,37,840.0,3.6,1,09:00-23:00,55.801368,37.478478
29,Красный фонарь,кафе,0,Марьино,ЮВАО,8,510.0,нет данных,24,круглосуточно,55.704882,37.700121
30,Круглый квартал,кофейня,0,Ясенево,ЮЗАО,10,350.0,3.8,6,07:00-21:00,55.718419,37.629957
31,Белый квартал,кафе,0,Бутырский,СВАО,55,650.0,4.0,24,12:00-00:00,55.872437,37.852461
32,Уютный очаг,булочная,0,Текстильщики,ЮВАО,17,220.0,3.6,12,07:00-21:00,55.7471,37.44391
33,Тёплый стол,бар,0,Бабушкинский,СВАО,25,310.0,4.1,18,11:00-23:00,55.691163,37.334083
34,Домашний квартал,ресторан,0,Басманный,ЦАО,57,2820.0,4.3,124,08:00-22:00,55.946922,37.544442
35,Стардог!s,кафе,1,Гагаринский,ЮЗАО,25,1360.0,4.4,298,09:00-23:00,55.699676,37.76778
36,One Price Coffee,кофейня,1,Перово,ВАО,23,380.0,3.8,211,09:00-23:00,55.719094,37.69794
37,Прайм,фастфуд,1,Донской,ЮАО,33,400.0,3.8,73,12:00-00:00,55.768643,37.786439
38,Прайм,КАФЕ,1,Марьино,ЮВАО,56,,3.5,95,11:00-23:00,55.738173,37.401776
39,Медный фонарь,булочная,0,Чертаново Южное,ЮАО,12,220.0,4.2,47,10:00-02:00,55.853252,37.797891
40,Уютный склон,ресторан,0,Академический,ЮЗАО,127,3230.0,4.2,33,07:00-21:00,55.569951,37.565086
41,Зелёный чайник,бар,0,Чертаново Южное,ЮАО,39,,3.7,27,12:00-00:00,55.748988,37.47803
42,One Price Coffee,пиццерия,1,Чертаново Южное,ЮАО,27,530.0,4.3,14,08:00-22:00,55.889841,37.63331
43,Северный уголок,кофейня,0,Академический,ЮЗАО,24,480.0,3.9,31,08:00-22:00,55.803358,37.505981
44,Зелёный поднос,кафе,0,Даниловский,ЮАО,18,1190.0,3.4,187,07:00-21:00,55.761239,37.608423
45,Круглый колодец,ресторан,0,Марьино,ЮВАО,10,4940.0,4.3,30,круглосуточно,55.730416,37.381148
46,Кулинарная лавка,кофейня,1,Раменки,ЗАО,8,390.0,4.5,9,круглосуточно,55.79845,37.63272
47,Хлебный уголок,кофейня,0,Таганский,ЦАО,,900.0,4.0,24,,55.781698,37.737426
48,Домашний дом,ресторан,0,Таганский,ЦАО,,5510.0,4.7,27,10:00-02:00,55.84149,37.614587
49,Липовый причал,булочная,0,Бутырский,СВАО,,350.0,3.8,39,круглосуточно,56.022179,37.604708
50,Домашний чайник,пиццерия,0,Бутырский,СВАО,40,780.0,4.1,4,07:00-21:00,55.700392,37.850125
