ride_id,user_id,distance_m,duration_min,ride_date
449,36,3054.7,22.99,2025-05-01
1552,121,3280.2,23.34,2025-05-01
1677,132,1529.1,15.2,2025-05-01
1730,135,2790.9,17.39,2025-05-01
1735,137,2748.4,17.9,2025-05-01
1968,155,1506.7,11.96,2025-05-01
2053,163,1070.6,8.16,2025-05-01
2182,175,1889.1,9.66,2025-05-01
2278,182,1946.4,16.4,2025-05-01
2593,201,2724.7,13.97,2025-05-01
3145,236,1628.8,8.44,2025-05-01
3831,290,1075.5,10.49,2025-05-01
3921,294,2721.8,25.1,2025-05-01
4356,330,3847.0,19.8,2025-05-01
4368,332,2756.7,19.67,2025-05-01
4526,346,2737.4,23.3,2025-05-01
5895,453,3314.8,28.02,2025-05-01
7459,572,1928.6,17.96,2025-05-01
7601,581,979.7,7.08,2025-05-01
7619,582,1688.0,11.2,2025-05-01
7772,594,2532.9,13.21,2025-05-01
7851,601,1976.8,10.88,2025-05-01
10464,787,1730.5,15.15,2025-05-01
10575,793,2640.6,16.69,2025-05-01
10634,796,2370.6,13.13,2025-05-01
10854,813,2740.6,14.47,2025-05-01
11112,834,2162.3,9.54,2025-05-01
11357,853,1919.6,17.58,2025-05-01
11874,891,3839.2,18.02,2025-05-01
12171,913,1189.1,10.58,2025-05-01
12185,913,3431.0,22.74,2025-05-01
12274,918,1994.2,15.03,2025-05-01
13162,984,4392.3,22.87,2025-05-01
13447,1004,2147.2,13.87,2025-05-01
14256,1069,3433.3,20.82,2025-05-01
14298,1072,2316.5,18.43,2025-05-01
14439,1081,5574.4,34.36,2025-05-01
17666,1301,1895.3,14.94,2025-05-01
18187,1334,2357.3,20.9,2025-05-01
18880,1393,2769.9,16.84,2025-05-01
327,24,1922.4,13.12,2025-05-02
426,32,1972.2,11.93,2025-05-02
726,63,3171.9,17.49,2025-05-02
777,67,5925.2,30.02,2025-05-02
798,68,3724.2,19.97,2025-05-02
954,79,1122.6,16.62,2025-05-02
1140,93,7646.4,39.91,2025-05-02
1333,106,1158.7,8.89,2025-05-02
1468,115,5391.6,30.24,2025-05-02
1848,146,7144.2,34.54,2025-05-02
2667,206,2809.8,15.31,2025-05-02
3216,239,5075.0,30.1,2025-05-02
3500,260,0.0,0.0,2025-05-02
4038,303,3620.3,25.57,2025-05-02
4453,341,1394.7,8.86,2025-05-02
5473,424,2338.1,15.54,2025-05-02
5540,429,2613.4,17.99,2025-05-02
5681,436,2851.5,25.66,2025-05-02
7611,582,1328.4,9.3,2025-05-02
7717,591,3250.7,18.5,2025-05-02
7865,601,3022.7,22.7,2025-05-02
8476,651,3470.4,28.35,2025-05-02
8838,680,5647.3,25.76,2025-05-02
9923,751,1742.1,15.27,2025-05-02
9933,752,3575.3,20.22,2025-05-02
10305,777,2094.4,15.99,2025-05-02
11069,831,2157.3,11.83,2025-05-02
11201,842,1908.5,16.75,2025-05-02
11576,870,2295.0,16.39,2025-05-02
11987,902,2158.7,12.84,2025-05-02
12116,909,1363.9,10.98,2025-05-02
13623,1021,4237.2,28.24,2025-05-02
15020,1118,5991.0,33.61,2025-05-02
15425,1148,3622.1,18.38,2025-05-02
15612,1158,7016.5,40.93,2025-05-02
16164,1195,2052.9,12.6,2025-05-02
16669,1233,5861.6,30.43,2025-05-02
17388,1279,3796.6,37.61,2025-05-02
17578,1295,2930.6,16.7,2025-05-02
17905,1319,1891.2,31.52,2025-05-02
18121,1330,4212.6,25.48,2025-05-02
18606,1365,3920.7,23.19,2025-05-02
18716,1376,4258.6,24.06,2025-05-02
18847,1388,3371.6,22.16,2025-05-02
19618,1448,2032.5,13.18,2025-05-02
19709,1454,3754.3,22.98,2025-05-02
19983,1471,3840.9,20.25,2025-05-02
20188,1489,2787.0,16.57,2025-05-02
208,19,1859.2,12.23,2025-05-03
757,65,2644.3,17.87,2025-05-03
868,72,2839.7,16.27,2025-05-03
971,80,2537.2,15.42,2025-05-03
1235,99,2759.7,24.15,2025-05-03
1720,134,3509.8,21.44,2025-05-03
1758,138,3851.2,25.72,2025-05-03
1952,153,3884.8,23.99,2025-05-03
2355,185,1775.0,12.58,2025-05-03
3133,236,2237.5,11.69,2025-05-03
3259,242,3142.1,25.12,2025-05-03
3459,256,1185.2,17.0,2025-05-03
3829,289,1775.2,11.15,2025-05-03
4136,309,6852.7,33.38,2025-05-03
5002,386,1819.5,11.79,2025-05-03
5202,402,932.1,6.34,2025-05-03
5273,410,1380.8,8.04,2025-05-03
5554,429,1018.6,15.27,2025-05-03
5731,442,2737.2,20.71,2025-05-03
6349,493,3815.9,34.15,2025-05-03
6372,495,3155.7,24.48,2025-05-03
6698,516,4329.7,25.11,2025-05-03
7292,558,6525.5,33.64,2025-05-03
7506,575,2332.0,11.15,2025-05-03
7921,606,2009.3,18.63,2025-05-03
8679,669,2886.4,17.58,2025-05-03
8916,684,1582.6,8.19,2025-05-03
9597,725,993.3,6.78,2025-05-03
10090,766,2174.1,9.98,2025-05-03
10100,766,5129.7,30.12,2025-05-03
10271,775,2439.9,13.75,2025-05-03
10546,791,3932.3,21.82,2025-05-03
11129,838,3719.2,20.19,2025-05-03
11188,841,3183.5,13.87,2025-05-03
12004,903,3179.6,19.36,2025-05-03
12058,905,3330.0,19.21,2025-05-03
12506,938,2122.4,19.4,2025-05-03
12544,940,1532.3,12.64,2025-05-03
13689,1024,2540.2,14.98,2025-05-03
14197,1065,2638.3,14.96,2025-05-03
14243,1068,3669.9,26.24,2025-05-03
14878,1111,6527.8,38.37,2025-05-03
16293,1204,3363.0,13.38,2025-05-03
16647,1231,2159.3,20.83,2025-05-03
17176,1266,3295.7,20.58,2025-05-03
17397,1281,2094.7,13.33,2025-05-03
17525,1292,2316.0,13.06,2025-05-03
17773,1311,1809.8,15.97,2025-05-03
18725,1377,5609.3,27.01,2025-05-03
19211,1417,4018.3,25.1,2025-05-03
20114,1482,3346.7,19.66,2025-05-03
20415,309,6852.7,33.38,2025-05-03
16,2,3127.0,18.19,2025-05-04
213,19,1674.6,11.63,2025-05-04
410,30,3650.8,19.66,2025-05-04
762,65,1157.9,8.14,2025-05-04
840,70,1113.0,18.55,2025-05-04
1228,99,1547.3,14.33,2025-05-04
1343,107,2312.7,19.64,2025-05-04
1406,110,2077.5,8.83,2025-05-04
1834,145,2101.1,11.99,2025-05-04
3390,251,813.8,5.41,2025-05-04
3396,252,1191.1,15.5,2025-05-04
3732,281,2457.5,18.22,2025-05-04
3842,290,3316.0,18.88,2025-05-04
4124,309,2122.9,15.79,2025-05-04
4311,328,2738.7,25.81,2025-05-04
4328,328,3556.6,26.83,2025-05-04
4701,359,2660.4,18.35,2025-05-04
4715,361,1540.4,17.12,2025-05-04
5212,403,2187.3,20.4,2025-05-04
5571,430,1917.4,12.03,2025-05-04
5598,431,2585.4,12.42,2025-05-04
5692,436,5935.3,27.73,2025-05-04
5734,442,6040.6,29.35,2025-05-04
5903,454,1906.6,28.29,2025-05-04
6532,505,2354.2,20.6,2025-05-04
7148,548,918.2,5.86,2025-05-04
7278,558,2548.4,15.32,2025-05-04
7528,577,4056.6,27.1,2025-05-04
7532,577,4720.0,24.8,2025-05-04
7566,579,1792.1,12.56,2025-05-04
7870,601,2863.7,16.16,2025-05-04
7983,609,3368.0,20.73,2025-05-04
8421,647,3734.0,22.63,2025-05-04
8563,659,2712.9,17.69,2025-05-04
8713,672,5262.9,31.17,2025-05-04
9363,710,3353.4,22.72,2025-05-04
9564,724,3260.4,27.04,2025-05-04
9744,738,1080.7,7.27,2025-05-04
9755,738,2798.7,14.6,2025-05-04
10596,795,3823.0,18.34,2025-05-04
10707,802,5008.0,21.98,2025-05-04
10874,814,2812.5,16.95,2025-05-04
10877,814,2952.6,19.61,2025-05-04
11365,853,4355.1,28.29,2025-05-04
12154,911,3266.7,16.94,2025-05-04
12633,945,12213.0,65.24,2025-05-04
12865,964,632.9,4.44,2025-05-04
12924,967,2079.7,18.24,2025-05-04
13014,973,2010.6,10.66,2025-05-04
13023,974,3644.2,38.49,2025-05-04
13108,980,1796.9,12.47,2025-05-04
13409,1003,3646.3,23.27,2025-05-04
13969,1047,2099.9,13.22,2025-05-04
14938,1114,3416.6,15.07,2025-05-04
15349,1140,828.6,7.84,2025-05-04
15866,1169,2321.2,12.6,2025-05-04
16605,1227,1745.0,12.47,2025-05-04
16632,1230,1096.2,8.47,2025-05-04
17153,1266,3070.2,20.91,2025-05-04
17576,1295,1503.5,12.49,2025-05-04
18321,1346,1238.1,7.48,2025-05-04
18440,1354,5309.0,27.77,2025-05-04
19037,1403,1470.7,8.1,2025-05-04
19158,1414,1007.1,6.41,2025-05-04
19707,1454,4888.2,27.47,2025-05-04
1127,93,2599.3,22.63,2025-05-05
2049,163,4914.5,29.29,2025-05-05
2138,172,7817.8,44.92,2025-05-05
2532,198,2482.3,15.85,2025-05-05
3812,288,2683.6,22.55,2025-05-05
3936,296,2747.7,24.38,2025-05-05
4849,372,2238.7,13.7,2025-05-05
5049,390,1992.5,12.76,2025-05-05
5204,402,2765.5,16.4,2025-05-05
5607,432,2135.9,13.12,2025-05-05
5876,451,7473.8,51.94,2025-05-05
5923,456,3163.5,15.47,2025-05-05
5939,459,1729.6,14.28,2025-05-05
5986,461,2424.2,20.96,2025-05-05
6576,508,3385.1,16.8,2025-05-05
6830,522,4547.0,31.6,2025-05-05
7252,557,0.0,0.0,2025-05-05
7433,569,5887.4,35.77,2025-05-05
7600,581,3248.7,19.84,2025-05-05
8159,623,3144.0,14.66,2025-05-05
8337,641,1656.3,12.14,2025-05-05
8666,669,3080.0,22.79,2025-05-05
9075,693,2621.8,19.72,2025-05-05
9317,708,1264.4,10.65,2025-05-05
9771,740,2159.5,14.25,2025-05-05
10246,773,5163.9,30.83,2025-05-05
10504,789,3606.7,22.72,2025-05-05
10510,790,2211.8,15.74,2025-05-05
10901,816,3534.1,17.29,2025-05-05
11023,825,7343.2,36.6,2025-05-05
11182,840,2672.2,13.4,2025-05-05
11715,879,3942.9,24.13,2025-05-05
11800,887,2922.9,17.07,2025-05-05
13359,999,1472.9,18.77,2025-05-05
13461,1005,1726.4,11.77,2025-05-05
13554,1015,3852.0,30.61,2025-05-05
14022,1050,1975.8,10.38,2025-05-05
14361,1075,1319.1,8.15,2025-05-05
14727,1099,3404.6,21.31,2025-05-05
15754,1165,1561.1,12.11,2025-05-05
16195,1198,2357.1,15.89,2025-05-05
16268,1204,4488.3,19.02,2025-05-05
17320,1274,3187.4,23.43,2025-05-05
17418,1282,793.2,5.72,2025-05-05
17560,1294,5116.2,34.01,2025-05-05
18294,1343,1965.1,10.38,2025-05-05
18517,1358,1252.8,17.95,2025-05-05
19014,1402,1129.2,8.09,2025-05-05
19256,1419,4860.3,35.8,2025-05-05
19395,1430,1614.5,15.33,2025-05-05
19506,1438,6294.7,37.34,2025-05-05
19622,1448,2838.6,17.69,2025-05-05
19802,1460,3269.3,24.38,2025-05-05
19995,1471,927.7,6.02,2025-05-05
20083,1478,1949.8,15.07,2025-05-05
823,69,951.6,8.66,2025-05-06
1489,118,2427.7,18.73,2025-05-06
1783,141,1238.8,7.52,2025-05-06
2803,216,1890.7,10.92,2025-05-06
2992,229,3101.2,19.67,2025-05-06
3577,267,4895.7,23.68,2025-05-06
3974,299,2998.3,18.49,2025-05-06
4194,316,1126.6,8.78,2025-05-06
4750,364,1874.1,11.32,2025-05-06
5221,404,1780.6,14.75,2025-05-06
5766,444,3519.0,17.58,2025-05-06
5864,450,4037.6,30.86,2025-05-06
7005,538,3692.3,28.57,2025-05-06
7628,582,3652.4,28.7,2025-05-06
7938,607,2149.1,14.65,2025-05-06
8338,641,926.9,5.94,2025-05-06
8468,650,1880.8,20.69,2025-05-06
8828,680,2104.5,16.16,2025-05-06
10181,771,1476.9,8.05,2025-05-06
10340,780,2274.4,12.93,2025-05-06
12685,949,1489.9,6.13,2025-05-06
12778,956,12945.2,90.0,2025-05-06
13008,973,2471.9,20.41,2025-05-06
13627,1021,2614.1,17.88,2025-05-06
14281,1071,3046.7,17.35,2025-05-06
14404,1078,2800.9,13.79,2025-05-06
14660,1096,3132.6,26.28,2025-05-06
14792,1105,4618.5,35.77,2025-05-06
15712,1164,2810.5,19.83,2025-05-06
16283,1204,1101.7,12.33,2025-05-06
16879,1249,4282.0,27.07,2025-05-06
17529,1292,1374.8,9.41,2025-05-06
17709,1305,5577.7,26.07,2025-05-06
17768,1310,2175.3,10.79,2025-05-06
17783,1311,2447.7,18.85,2025-05-06
18248,1341,2074.2,12.87,2025-05-06
18530,1358,1716.7,10.05,2025-05-06
547,44,2996.3,15.37,2025-05-07
754,65,1350.7,9.34,2025-05-07
1010,82,2223.1,14.84,2025-05-07
1152,93,902.6,4.96,2025-05-07
2054,163,1444.5,8.37,2025-05-07
3188,238,5779.4,34.85,2025-05-07
3309,244,1804.8,9.88,2025-05-07
3545,264,2549.0,16.24,2025-05-07
3567,265,1369.4,8.55,2025-05-07
4067,306,2050.7,10.86,2025-05-07
4092,308,1974.1,10.9,2025-05-07
4700,359,1663.7,15.08,2025-05-07
4801,371,4482.4,23.3,2025-05-07
5047,390,4217.4,21.1,2025-05-07
5122,397,2979.3,17.05,2025-05-07
5327,413,1827.2,9.7,2025-05-07
5727,442,1963.2,12.86,2025-05-07
6046,466,2796.2,20.7,2025-05-07
7382,564,2398.3,17.18,2025-05-07
7393,564,5191.1,39.54,2025-05-07
7882,602,1674.5,12.99,2025-05-07
7886,602,2048.3,11.53,2025-05-07
8407,646,3576.9,23.17,2025-05-07
8753,675,1555.7,12.67,2025-05-07
9072,693,2503.2,16.58,2025-05-07
9258,704,941.3,9.1,2025-05-07
9903,750,2645.9,12.45,2025-05-07
10030,762,3614.7,16.32,2025-05-07
10234,773,2540.4,16.51,2025-05-07
10817,810,1830.3,15.38,2025-05-07
10858,813,2523.1,15.08,2025-05-07
11560,870,1606.1,12.92,2025-05-07
11582,870,2605.7,18.1,2025-05-07
12047,904,4550.7,22.35,2025-05-07
12397,927,928.6,5.82,2025-05-07
12569,940,2518.4,11.9,2025-05-07
13672,1023,1141.3,9.09,2025-05-07
15009,1118,2035.8,14.37,2025-05-07
15052,1121,2989.0,24.59,2025-05-07
15284,1137,2666.2,17.86,2025-05-07
15544,1155,2702.0,19.14,2025-05-07
15806,1167,2377.4,12.81,2025-05-07
16821,1246,7580.1,53.13,2025-05-07
17239,1270,4088.2,19.05,2025-05-07
17926,1320,1351.0,12.24,2025-05-07
18102,1329,2334.2,13.81,2025-05-07
18124,1330,2644.7,22.82,2025-05-07
18319,1346,1812.3,9.09,2025-05-07
18838,1387,965.7,8.01,2025-05-07
18894,1393,2504.8,19.59,2025-05-07
19453,1433,2071.5,19.27,2025-05-07
19511,1438,2009.2,11.1,2025-05-07
19876,1466,1216.0,8.1,2025-05-07
20255,1494,4064.7,31.94,2025-05-07
1050,85,2852.1,20.29,2025-05-08
2229,178,4408.5,24.96,2025-05-08
3413,252,3591.5,17.69,2025-05-08
3946,297,4745.1,20.84,2025-05-08
4021,302,2826.0,21.7,2025-05-08
4182,314,1881.3,10.97,2025-05-08
4235,319,3925.6,24.7,2025-05-08
4383,332,2103.1,22.61,2025-05-08
5054,390,1507.3,9.29,2025-05-08
5975,461,2328.9,10.76,2025-05-08
6112,471,2110.6,19.39,2025-05-08
6249,484,3431.8,21.82,2025-05-08
6308,489,4839.5,28.2,2025-05-08
6454,500,2292.5,19.64,2025-05-08
7178,551,3526.4,23.22,2025-05-08
7358,562,4083.6,22.99,2025-05-08
7889,602,4155.6,30.26,2025-05-08
7942,607,2429.6,16.73,2025-05-08
9009,690,2440.3,16.36,2025-05-08
9982,758,1155.1,8.31,2025-05-08
10173,770,2156.9,15.27,2025-05-08
10671,799,4081.7,27.94,2025-05-08
10780,807,2653.7,14.73,2025-05-08
11535,868,3037.4,16.62,2025-05-08
12674,948,709.8,6.48,2025-05-08
12811,959,2659.5,14.9,2025-05-08
13198,988,1066.3,11.32,2025-05-08
13492,1009,2879.6,19.48,2025-05-08
13715,1027,1293.5,8.15,2025-05-08
13919,1042,1658.0,10.08,2025-05-08
13932,1043,3847.8,17.36,2025-05-08
13945,1044,2519.6,17.34,2025-05-08
14870,1110,1216.6,14.67,2025-05-08
15201,1130,3104.1,27.49,2025-05-08
15606,1157,3217.8,21.22,2025-05-08
16146,1194,2022.4,16.84,2025-05-08
16294,1204,2353.8,13.7,2025-05-08
16489,1218,6576.9,48.79,2025-05-08
16497,1219,2456.6,13.27,2025-05-08
16724,1239,6186.8,29.98,2025-05-08
16797,1245,1898.2,15.53,2025-05-08
17551,1294,3890.2,17.57,2025-05-08
18065,1328,3886.0,21.82,2025-05-08
18835,1387,4113.4,36.76,2025-05-08
18926,1397,2717.9,21.05,2025-05-08
19170,1414,3934.8,22.34,2025-05-08
19808,1460,935.2,8.99,2025-05-08
20060,1477,4370.4,21.7,2025-05-08
20170,1488,3487.3,23.9,2025-05-08
20440,1110,1216.6,14.67,2025-05-08
526,43,5303.4,38.81,2025-05-09
2139,172,2847.0,14.05,2025-05-09
2178,175,2240.9,9.51,2025-05-09
2901,223,2300.1,17.29,2025-05-09
3334,245,1802.7,14.14,2025-05-09
3409,252,4141.3,17.25,2025-05-09
3947,297,2322.0,17.65,2025-05-09
4097,308,2118.2,15.29,2025-05-09
4148,311,2798.9,14.27,2025-05-09
4156,311,1122.3,10.1,2025-05-09
4642,356,4122.4,22.11,2025-05-09
4665,358,4103.1,24.86,2025-05-09
5520,427,1271.6,8.97,2025-05-09
6983,535,0.0,0.0,2025-05-09
7139,547,3068.0,17.53,2025-05-09
