user_id,age,city,subscription_type
1,20,Ереван,free
2,37,Ереван,free
3,33,Гюмри,free
4,22,Гюмри,free
5,30,Тбилиси,ultra
6,33,Батуми,free
7,35,Кутаиси,free
8,35,Ванадзор,ultra
9,26,Батуми,free
10,26,Ванадзор,ultra
11,29,Тбилиси,free
12,27,Рустави,ultra
13,31,Кутаиси,ultra
14,25,Кутаиси,ultra
15,32,Батуми,free
16,38,Ереван,free
17,21,Ванадзор,free
18,29,Тбилиси,ultra
19,28,Ереван,ultra
20,13,Тбилиси,ultra
21,39,Тбилиси,ultra
22,25,Кутаиси,free
23,18,Батуми,ultra
24,26,Ереван,ultra
25,24,Тбилиси,ultra
26,25,Тбилиси,free
27,15,Тбилиси,free
28,22,Кутаиси,free
29,22,Батуми,free
30,32,Батуми,free
31,33,Батуми,free
32,34,Ереван,free
33,12,Поти,free
34,19,Гюмри,free
35,20,Батуми,free
36,21,Батуми,ultra
37,12,Рустави,free
38,20,Батуми,free
39,52,Ереван,ultra
40,23,Гюмри,free
41,23,Ванадзор,free
42,28,Тбилиси,ultra
43,31,Ереван,ultra
44,25,Батуми,free
45,38,Ереван,free
46,36,Тбилиси,free
47,23,Ванадзор,free
48,34,Кутаиси,free
49,19,Батуми,ultra
50,18,Тбилиси,free
51,28,Поти,free
52,28,Тбилиси,free
53,35,Гюмри,free
54,14,Кутаиси,ultra
55,29,Батуми,free
56,15,Кутаиси,free
57,30,Тбилиси,free
58,17,Тбилиси,ultra
59,27,Ереван,free
60,27,Кутаиси,free
61,34,Батуми,ultra
62,34,Поти,free
63,12,Рустави,free
64,17,Поти,free
65,35,Тбилиси,ultra
66,12,Тбилиси,free
67,29,Батуми,free
68,26,Кутаиси,ultra
69,24,Тбилиси,ultra
70,22,Рустави,free
71,13,Батуми,free
72,37,Кутаиси,ultra
73,44,Поти,free
74,33,Кутаиси,ultra
75,20,Батуми,ultra
76,25,Тбилиси,ultra
77,40,Тбилиси,free
78,34,Гюмри,free
79,42,Поти,free
80,,Ванадзор,ultra
81,25,Ванадзор,free
82,34,Ванадзор,ultra
83,29,Тбилиси,free
84,32,Батуми,free
85,15,Батуми,free
86,33,Тбилиси,free
87,33,Ереван,free
88,26,Тбилиси,free
89,21,Ереван,free
90,22,Батуми,ultra
91,37,Ереван,ultra
92,21,Тбилиси,free
93,28,Тбилиси,ultra
94,46,Ереван,free
95,43,Ереван,free
96,13,Тбилиси,ultra
97,32,Кутаиси,ultra
98,35,Кутаиси,ultra
99,22,Поти,free
100,18,Тбилиси,free
101,35,Поти,free
102,24,Батуми,ultra
103,30,Батуми,ultra
104,14,Батуми,free
105,34,Тбилиси,free
106,37,Кутаиси,ultra
107,33,Батуми,free
108,30,Рустави,free
109,27,Тбилиси,ultra
110,25,Ереван,ultra
111,40,Кутаиси,free
112,28,Поти,free
113,,Гюмри,ultra
114,25,Гюмри,free
115,29,Ереван,ultra
116,17,Ванадзор,free
117,43,Ванадзор,free
118,31,Батуми,ultra
119,31,Ереван,free
120,14,Тбилиси,ultra
121,29,Батуми,ultra
122,23,Ванадзор,free
123,19,Поти,free
124,32,Гюмри,ultra
125,49,Ереван,free
126,31,Тбилиси,free
127,12,Тбилиси,free
128,29,Тбилиси,free
129,28,Тбилиси,free
130,21,Рустави,free
131,19,Батуми,ultra
132,15,Тбилиси,free
133,31,Батуми,ultra
134,27,Поти,free
135,15,Рустави,free
136,26,Батуми,free
137,20,Поти,free
138,,Поти,ultra
139,26,Тбилиси,free
140,,Ереван,free
141,34,Кутаиси,free
142,24,Батуми,free
143,36,Батуми,free
144,32,Рустави,free
145,31,Ереван,ultra
146,27,Рустави,ultra
147,27,Батуми,free
148,33,Ванадзор,free
149,34,Поти,free
150,32,Ванадзор,free
151,18,Тбилиси,ultra
152,32,Гюмри,free
153,19,Батуми,ultra
154,38,Ереван,free
155,15,Тбилиси,free
156,22,Гюмри,free
157,22,Ванадзор,free
158,33,Батуми,ultra
159,31,Кутаиси,free
160,39,Тбилиси,ultra
161,19,Кутаиси,free
162,16,Рустави,free
163,28,Тбилиси,free
164,42,Ванадзор,free
165,28,Ереван,ultra
166,29,Батуми,free
167,,Кутаиси,ultra
168,29,Гюмри,free
169,21,Ереван,free
170,24,Кутаиси,free
171,13,Ереван,free
172,12,Ванадзор,ultra
173,18,Ванадзор,free
174,26,Кутаиси,free
175,,Кутаиси,ultra
176,31,Батуми,free
177,32,Батуми,ultra
178,25,Ереван,ultra
179,13,Поти,ultra
180,34,Ереван,free
181,26,Ереван,free
182,30,Рустави,ultra
183,25,Батуми,free
184,20,Ереван,ultra
185,21,Рустави,ultra
186,20,Тбилиси,ultra
187,21,Ереван,free
188,21,Батуми,ultra
189,24,Кутаиси,free
190,19,Ереван,ultra
191,45,Гюмри,free
192,12,Рустави,free
193,33,Поти,free
194,26,Ванадзор,ultra
195,19,Батуми,ultra
196,38,Тбилиси,free
197,14,Гюмри,free
198,25,Батуми,ultra
199,27,Тбилиси,ultra
200,27,Ереван,ultra
201,14,Ванадзор,ultra
202,22,Тбилиси,ultra
203,32,Батуми,ultra
204,21,Рустави,free
205,19,Тбилиси,ultra
206,19,Тбилиси,free
207,25,Рустави,free
208,29,Гюмри,free
209,32,Рустави,free
210,35,Ванадзор,free
211,26,Ереван,ultra
212,21,Батуми,free
213,25,Ереван,free
214,18,Рустави,ultra
215,30,Тбилиси,ultra
216,22,Поти,ultra
217,21,Рустави,free
218,38,Ванадзор,ultra
